
34 89 3 70 1 25 49 0 100 23 100 67 56 99 0 100 0
20 71 0 29 31 0 78 12 100 51 84 93 37 100 8 66 0
42 93 19 88 0 42 24 0 83 11 100 56 75 100 17 97 0
33 86 0 55 1 12 52 0 90 34 100 76 56 100 6 77 0
27 83 0 42 9 0 65 17 96 57 100 100 45 95 10 58 0
10 100 0 60 14 18 60 0 100 24 96 66 58 95 19 73 0
29 80 0 41 14 0 70 14 100 53 100 96 49 100 19 62 0
29 97 0 57 22 10 68 0 100 40 83 90 37 100 12 57 0
11 45 17 6 55 0 88 25 100 61 79 94 38 100 0 84 0
15 84 0 57 5 17 52 0 95 28 100 67 70 100 20 87 0
25 76 0 39 15 0 68 1 98 36 100 76 58 100 7 90 0
62 100 25 91 0 49 7 2 55 0 92 30 100 78 63 100 0
78 99 21 85 0 50 5 14 59 0 100 27 100 65 79 100 0
56 97 15 77 0 35 23 0 70 3 100 36 95 78 54 100 0
23 97 0 48 17 0 58 3 93 35 100 89 59 100 23 73 0
26 94 0 61 6 16 47 0 91 17 100 60 71 95 27 100 0
52 100 12 74 0 41 12 9 66 0 100 27 98 60 79 93 0
10 98 0 54 7 11 51 0 90 30 100 72 66 100 18 88 0
14 72 5 25 39 0 81 20 100 63 75 100 30 98 0 65 0
24 96 0 61 7 16 43 0 82 11 100 48 78 86 39 100 0
98 89 53 100 12 72 0 27 37 0 86 21 100 63 92 90 0
20 57 0 20 40 0 83 23 100 62 87 100 40 88 11 53 0
79 98 30 90 2 53 0 10 46 0 88 27 100 70 73 100 0
79 100 27 86 0 53 9 15 53 0 95 25 100 63 76 99 0
54 98 17 64 0 18 50 0 93 36 100 84 54 100 19 60 0
70 100 100 97 70 81 45 65 30 49 20 33 0 16 0 0 1
27 73 81 100 83 91 78 52 62 14 0 0 29 1 100 5 1
0 50 41 69 76 90 100 100 89 74 78 50 70 25 68 0 1
2 75 37 100 56 99 58 61 46 25 0 0 34 5 100 8 1
0 55 46 58 73 82 100 100 92 75 89 50 84 25 89 0 1
22 72 55 100 54 89 53 50 55 12 0 1 49 0 100 4 1
88 100 100 95 75 79 38 64 25 47 12 32 0 16 12 0 1
53 64 73 100 70 83 67 42 36 11 0 0 49 4 100 9 1
0 39 30 69 48 100 39 69 41 35 33 5 31 2 100 0 1
100 100 79 86 62 71 50 57 33 43 21 28 8 14 0 0 1
27 50 56 89 64 100 55 52 35 9 0 2 52 2 100 0 1
15 70 48 100 63 89 57 56 67 24 15 1 0 0 100 0 1
45 69 74 100 68 94 57 50 39 9 0 3 50 3 100 0 1
100 100 70 86 53 72 37 58 20 43 10 29 0 14 13 0 1
100 100 82 91 64 75 50 59 27 43 14 27 0 11 0 0 1
7 59 29 100 31 91 32 46 31 1 0 0 54 1 100 0 1
18 73 62 100 53 85 53 53 52 20 0 0 8 6 100 6 1
9 49 42 63 82 85 100 100 76 74 51 48 29 22 0 0 1
0 61 29 88 51 100 43 66 43 32 23 0 11 2 100 3 1
0 66 39 83 100 100 100 82 84 62 68 41 58 20 50 0 1
0 73 27 86 73 100 100 98 89 72 83 46 82 20 85 0 1
0 69 47 81 88 100 100 91 91 68 76 45 71 22 68 0 1
100 100 93 86 73 72 57 57 40 44 23 29 10 15 0 0 1
0 73 40 98 58 100 55 64 58 27 24 3 43 0 100 4 1
18 72 25 100 24 70 22 34 17 0 0 2 51 2 100 2 1
0 90 46 100 88 92 79 69 60 48 39 27 47 6 100 0 2
13 67 40 100 65 78 37 42 0 11 6 4 60 0 100 19 2
23 70 51 100 74 82 51 46 20 15 0 4 50 0 100 2 2
27 82 65 100 100 89 69 62 33 39 0 15 37 1 88 0 2
0 67 25 100 49 73 36 33 6 0 1 6 53 3 100 11 2
9 88 22 100 26 65 16 31 0 5 33 1 66 0 100 3 2
19 76 53 100 92 81 73 40 33 13 0 0 49 5 100 6 2
0 83 28 96 63 100 72 78 58 54 50 29 65 8 100 0 2
39 60 64 100 96 84 69 41 25 12 0 15 50 0 100 4 2
3 74 33 100 52 71 33 34 3 2 0 4 51 0 100 1 2
0 79 27 93 60 100 77 80 72 54 64 28 66 4 100 0 2
24 72 50 100 61 64 33 33 0 12 29 19 64 0 100 10 2
18 74 49 100 53 67 31 31 0 0 13 11 59 2 100 8 2
0 77 34 100 82 97 72 64 39 36 4 10 48 1 100 0 2
10 61 35 100 69 88 41 46 0 13 10 28 53 0 100 23 2
0 83 20 100 67 96 73 74 64 51 51 30 56 9 100 0 2
9 74 38 100 53 78 30 43 0 17 27 8 63 6 100 0 2
13 78 49 100 65 76 38 48 4 23 0 9 54 14 100 0 2
28 77 40 100 49 67 29 32 0 18 32 14 66 0 100 18 2
29 97 59 100 46 72 14 58 0 43 32 27 64 9 100 0 2
19 78 40 100 54 75 31 45 0 19 26 9 62 0 100 13 2
0 74 19 98 60 100 46 66 22 34 15 0 59 0 100 11 2
41 93 88 100 86 75 47 53 0 38 5 25 50 10 100 0 2
28 69 43 100 77 86 60 45 29 9 0 1 52 0 100 6 2
16 86 44 100 35 59 12 25 0 4 33 3 66 1 100 0 2
30 74 55 100 89 87 66 56 100 38 92 8 41 0 0 20 3
41 84 73 100 100 82 62 60 97 38 91 8 42 0 0 19 3
59 89 42 23 29 42 25 100 100 82 75 46 98 0 0 3 3
0 76 29 95 92 100 81 77 75 56 100 35 85 13 31 0 3
38 65 36 98 100 100 99 69 62 55 96 26 55 0 0 15 3
0 82 34 100 78 90 49 62 80 49 100 18 62 0 18 13 3
12 91 48 100 66 77 77 63 100 42 75 15 34 0 0 15 3
17 81 59 100 76 75 53 48 100 44 89 13 40 0 0 20 3
0 89 61 100 100 85 47 65 44 47 98 29 71 4 6 0 3
32 75 59 100 88 84 72 54 100 38 89 10 39 0 0 19 3
21 85 57 100 63 71 30 55 85 47 100 15 48 0 0 11 3
54 87 85 100 76 71 65 47 100 21 77 0 33 5 0 22 3
52 87 79 100 79 75 72 49 100 29 76 8 36 0 0 7 3
0 94 33 100 52 83 64 65 77 47 100 30 89 13 52 0 3
0 87 27 100 55 87 68 68 82 50 100 32 100 13 73 0 3
