
40 100 0 81 15 58 100 57 47 87 50 88 40 42 36 0 4
4 100 0 72 15 44 79 50 100 76 90 51 83 22 85 0 4
69 100 44 77 5 50 0 28 67 23 100 44 95 29 89 0 4
19 100 35 93 0 63 12 36 89 37 100 66 94 33 89 0 4
53 100 30 95 0 60 100 55 92 87 77 79 79 37 79 0 4
100 95 75 100 42 70 0 44 42 33 85 49 83 31 85 0 4
79 100 41 82 0 61 23 45 77 37 86 54 86 25 100 0 4
34 100 14 83 2 66 0 48 23 34 65 30 91 17 100 0 4
49 100 7 83 0 54 100 60 72 82 51 86 59 36 68 0 4
61 100 0 72 1 42 79 43 100 67 67 90 56 45 57 0 4
97 100 45 84 0 62 2 46 48 41 100 45 58 23 21 0 4
29 100 4 77 0 54 64 53 100 69 71 47 46 24 32 0 4
45 100 12 79 0 52 62 40 100 56 88 55 78 27 68 0 4
12 100 10 90 0 56 58 43 100 65 97 70 91 35 90 0 4
36 100 3 88 0 64 54 55 100 67 73 45 46 23 29 0 4
24 100 24 76 0 45 100 48 100 57 61 65 61 31 67 0 4
14 100 14 92 0 65 55 55 100 72 72 53 49 27 29 0 4
47 100 12 70 0 41 65 43 100 49 51 69 49 33 50 0 4
25 100 16 73 0 44 57 40 100 54 88 58 65 29 51 0 4
23 100 0 81 25 48 100 44 96 80 85 68 76 28 65 0 4
100 100 74 90 28 68 0 44 77 46 72 48 37 23 9 0 4
71 98 76 100 39 75 0 51 39 36 100 49 76 26 86 0 4
46 100 38 76 0 48 47 48 100 67 91 64 70 31 44 0 4
38 100 6 73 0 41 71 37 100 67 80 63 49 32 21 0 4
10 100 0 77 30 60 73 55 100 71 77 53 64 27 57 0 4
43 100 0 73 6 44 90 41 100 54 56 68 52 34 62 0 4
49 100 16 85 0 64 20 47 88 51 100 43 84 22 71 0 4
35 100 27 68 0 37 65 42 100 60 100 66 96 32 96 0 4
72 100 1 75 0 42 100 38 99 66 65 83 61 42 64 0 4
17 100 21 85 0 53 45 47 96 57 92 61 98 28 100 0 4
30 100 21 86 0 58 32 36 80 43 100 61 91 30 89 0 4
47 100 31 76 0 45 63 50 100 64 92 61 94 28 96 0 4
53 100 16 78 0 47 59 38 100 63 86 58 58 29 29 0 4
74 100 47 84 0 66 23 53 84 42 100 44 60 23 33 0 4
46 100 11 80 0 55 51 43 100 62 81 48 65 24 73 0 4
62 100 13 81 0 50 100 56 77 78 57 88 62 35 65 0 4
22 100 19 84 0 49 40 39 97 41 90 69 93 31 100 0 4
100 100 61 90 13 72 0 54 52 38 93 43 52 23 24 0 4
32 100 19 78 0 48 49 35 100 47 98 60 75 30 59 0 4
28 100 28 72 0 39 39 41 100 54 98 60 96 25 91 0 4
51 82 100 100 54 76 0 54 8 32 84 45 49 25 27 0 4
42 100 22 74 0 48 43 34 97 39 100 53 78 27 64 0 4
15 100 0 84 6 64 65 60 100 62 81 42 71 21 73 0 4
48 91 63 100 32 78 0 56 51 46 100 48 78 24 65 0 4
38 100 0 71 19 44 91 41 100 58 71 77 63 38 61 0 4
71 100 35 82 0 62 45 51 100 49 82 43 52 21 25 0 4
48 100 20 88 0 72 4 54 21 39 52 28 79 15 100 0 4
41 100 45 99 10 77 0 58 59 49 100 49 71 25 58 0 4
39 100 31 68 0 39 56 41 100 50 95 61 92 29 92 0 4
69 100 37 70 0 41 21 32 91 30 100 56 93 33 84 0 4
22 100 0 75 5 49 61 47 100 68 86 52 70 26 69 0 4
91 93 80 100 43 77 0 55 54 47 100 50 69 25 38 0 4
29 100 15 81 4 62 0 43 20 27 59 24 95 18 100 0 4
53 100 3 75 0 43 76 41 100 74 73 61 38 31 7 0 4
54 100 14 71 0 38 68 33 100 47 61 76 50 38 54 0 4
46 100 30 79 0 51 43 38 86 47 100 64 81 32 71 0 4
74 100 51 90 0 70 18 55 84 42 100 45 60 22 23 0 4
89 100 52 72 0 46 10 33 100 35 99 60 89 31 85 0 4
42 100 19 80 0 47 46 36 100 45 100 71 94 36 87 0 4
21 100 8 82 0 63 11 46 39 36 73 30 100 18 100 0 4
77 100 48 75 16 52 0 26 47 18 100 36 89 25 79 0 4
72 100 34 82 0 59 51 53 100 48 99 51 71 26 51 0 4
100 100 86 89 42 71 0 52 23 39 62 46 35 23 9 0 4
28 100 16 81 0 45 38 27 85 51 100 69 80 33 81 0 4
31 93 5 82 0 43 73 40 100 58 60 100 43 51 48 0 4
71 100 12 76 0 47 100 47 97 83 74 93 68 44 65 0 4
57 100 10 87 0 53 52 39 95 58 100 68 87 35 84 0 4
100 100 51 81 7 61 0 42 67 51 51 46 23 23 9 0 4
32 100 0 74 9 46 73 52 100 83 77 64 53 32 32 0 4
48 100 46 97 12 66 0 43 61 40 86 66 88 34 100 0 4
56 100 26 75 0 46 34 32 81 32 96 61 86 29 100 0 4
31 100 15 84 2 65 0 45 20 29 48 21 79 14 100 0 4
40 100 0 86 7 63 100 63 68 90 46 80 52 39 40 0 4
78 100 37 74 0 45 58 39 100 53 81 69 70 35 65 0 4
56 100 18 69 0 36 61 34 100 41 78 77 71 39 66 0 4
16 100 0 83 0 65 18 50 50 41 82 34 99 18 100 0 4
46 100 18 84 0 61 44 49 100 56 93 47 74 24 61 0 4
62 100 40 74 7 45 0 29 68 46 100 59 83 29 69 0 4
46 100 24 84 0 56 13 34 67 29 93 53 91 31 100 0 4
43 100 33 87 0 61 2 40 69 39 85 56 76 27 100 0 4
59 100 11 75 0 43 100 49 66 80 70 83 73 32 74 0 4
58 100 49 99 23 74 0 51 55 46 100 46 82 26 62 0 4
50 100 15 82 0 51 72 45 100 61 64 73 49 36 43 0 4
24 100 24 99 0 64 38 41 99 39 100 78 89 39 85 0 4
27 100 19 89 0 65 43 53 100 55 78 44 46 24 30 0 4
66 100 32 71 0 43 59 45 100 70 100 65 76 32 50 0 4
59 100 0 78 33 53 100 56 67 89 46 73 37 36 29 0 4
25 100 16 68 0 34 48 35 90 49 89 58 92 23 100 0 4
49 100 0 79 9 49 100 50 86 78 49 86 44 43 48 0 4
15 100 2 79 0 57 48 49 100 56 97 43 87 21 98 0 4
30 100 0 72 13 43 66 40 100 62 92 60 68 30 49 0 4
59 100 24 90 0 58 97 49 100 78 82 78 65 38 53 0 4
45 100 10 75 0 47 60 38 100 54 97 59 79 29 69 0 4
44 100 22 68 0 38 54 40 100 48 95 65 93 32 100 0 4
34 100 0 78 13 56 68 53 100 71 75 48 49 24 30 0 4
19 74 73 100 44 79 0 47 53 32 100 53 53 38 41 0 4
100 100 74 78 40 50 0 28 54 26 93 39 88 28 94 0 4
30 100 17 80 0 43 43 32 85 53 100 75 82 38 67 0 4
56 100 28 72 0 44 54 50 100 69 84 59 59 30 42 0 4
37 100 34 78 0 51 25 36 85 36 100 61 86 32 80 0 4
58 100 11 92 0 62 73 57 100 81 67 94 58 47 55 0 4
100 100 65 78 29 57 0 34 57 39 77 51 58 26 51 0 4
59 100 20 82 0 49 59 35 100 58 91 64 60 32 35 0 4
49 100 28 74 0 47 5 34 62 39 100 56 79 28 72 0 4
63 100 45 97 0 78 0 61 49 44 100 47 63 24 37 0 4
47 100 5 78 0 46 74 47 100 79 74 64 38 32 3 0 4
66 100 38 100 0 71 2 44 64 36 98 61 94 34 100 0 4
45 100 0 74 8 48 100 45 76 72 63 64 47 31 28 0 4
61 100 32 73 0 44 28 36 81 54 100 63 90 31 80 0 4
61 100 49 80 20 56 0 32 54 23 100 40 74 26 71 0 4
53 100 0 77 10 45 100 43 87 66 47 77 35 39 31 0 4
100 100 74 78 35 57 0 37 67 37 89 45 65 23 52 0 4
70 100 52 85 22 62 0 39 70 40 100 49 78 25 66 0 4
